platform,region,plan_type,price,scraped_at,currency
Apple TV+,Tunisia,Apple TV+ Monthly,12.99,2026-04-08 20:45:16,USD
Netflix,Tunisia,Premium,9.99,2026-04-08 20:45:38,USD
Netflix,Tunisia,Standard,7.99,2026-04-08 20:45:38,USD
Netflix,Tunisia,Basic,3.99,2026-04-08 20:45:38,USD
Apple TV+,Morocco,Apple TV+ Monthly,12.99,2026-04-08 20:45:16,USD
Spotify,United States,Individual,0.0,2026-04-08 20:45:13,USD
Spotify,United States,Student,0.0,2026-04-08 20:45:13,USD
Spotify,United States,Duo,18.99,2026-04-08 20:45:13,USD
Spotify,United States,Family,21.99,2026-04-08 20:45:13,USD
Apple TV+,United States,Apple TV+ Monthly,12.99,2026-04-08 20:45:22,USD
Netflix,United States,Premium,26.99,2026-04-08 20:45:44,USD
Netflix,United States,Standard with ads,8.99,2026-04-08 20:45:44,USD
Netflix,United States,Standard,19.99,2026-04-08 20:45:44,USD
Spotify,Jordan,Individual,0.0,2026-04-08 20:45:13,USD
Spotify,Jordan,Student,0.0,2026-04-08 20:45:13,USD
Spotify,Jordan,Duo,7.49,2026-04-08 20:45:13,USD
Spotify,Jordan,Family,9.49,2026-04-08 20:45:13,USD
Apple TV+,Jordan,Apple TV+ Monthly,6.99,2026-04-08 20:45:20,USD
Netflix,Jordan,Premium,9.99,2026-04-08 20:45:40,USD
Netflix,Jordan,Standard,7.99,2026-04-08 20:45:40,USD
Netflix,Jordan,Basic,3.99,2026-04-08 20:45:40,USD
Spotify,Australia,Individual,0.0,2026-04-08 20:45:13,USD
Spotify,Australia,Student,0.0,2026-04-08 20:45:13,USD
Spotify,Australia,Duo,22.99,2026-04-08 20:45:13,USD
Spotify,Australia,Family,27.99,2026-04-08 20:45:13,USD
Apple TV+,Australia,Apple TV+ Monthly,15.99,2026-04-08 20:45:20,USD
Spotify,Bahrain,Individual,0.0,2026-04-08 20:45:13,USD
Spotify,Bahrain,Student,0.0,2026-04-08 20:45:13,USD
Spotify,Bahrain,Duo,7.49,2026-04-08 20:45:13,USD
Spotify,Bahrain,Family,9.49,2026-04-08 20:45:13,USD
Apple TV+,Bahrain,Apple TV+ Monthly,7.99,2026-04-08 20:45:20,USD
Netflix,Bahrain,Premium,15.79,2026-04-08 20:45:46,USD
Netflix,Bahrain,Standard,10.49,2026-04-08 20:45:46,USD
Netflix,Bahrain,Basic,7.99,2026-04-08 20:45:46,USD
Spotify,Oman,Individual,0.0,2026-04-08 20:45:13,USD
Spotify,Oman,Student,0.0,2026-04-08 20:45:13,USD
Spotify,Oman,Duo,7.49,2026-04-08 20:45:13,USD
Spotify,Oman,Family,9.49,2026-04-08 20:45:13,USD
Apple TV+,Oman,Apple TV+ Monthly,6.99,2026-04-08 20:45:20,USD
Netflix,Oman,Premium,15.79,2026-04-08 20:45:45,USD
Netflix,Oman,Standard,10.49,2026-04-08 20:45:45,USD
Netflix,Oman,Basic,8.39,2026-04-08 20:45:45,USD
Apple TV+,Algeria,Apple TV+ Monthly,12.99,2026-04-08 20:45:16,USD
Netflix,Algeria,Premium,9.99,2026-04-08 20:45:45,USD
Netflix,Algeria,Standard,7.99,2026-04-08 20:45:45,USD
Netflix,Algeria,Basic,3.99,2026-04-08 20:45:45,USD
Spotify,New Zealand,Individual,0.0,2026-04-08 20:45:13,USD
Spotify,New Zealand,Student,0.0,2026-04-08 20:45:13,USD
Spotify,New Zealand,Duo,25.49,2026-04-08 20:45:13,USD
Spotify,New Zealand,Family,29.99,2026-04-08 20:45:13,USD
Apple TV+,New Zealand,Apple TV+ Monthly,17.99,2026-04-08 20:45:21,USD
Spotify,United Kingdom,Individual,0.0,2026-04-08 20:45:13,USD
Spotify,United Kingdom,Student,0.0,2026-04-08 20:45:13,USD
