region,hourly_wage_usd,Quartile
Luxembourg,66.24,Q4 (Highest)
Ireland,54.28,Q4 (Highest)
Switzerland,50.0,Q4 (Highest)
Singapore,43.59,Q4 (Highest)
Norway,41.72,Q4 (Highest)
Iceland,41.37,Q4 (Highest)
United States,40.64,Q4 (Highest)
Qatar,36.87,Q4 (Highest)
Netherlands,32.46,Q4 (Highest)
Australia,31.06,Q4 (Highest)
Austria,28.01,Q4 (Highest)
Sweden,27.46,Q4 (Highest)
Germany,26.97,Q4 (Highest)
Canada,26.13,Q4 (Highest)
Hong Kong,26.0,Q4 (Highest)
United Kingdom,25.6,Q4 (Highest)
Finland,25.55,Q4 (Highest)
United Arab Emirates,24.17,Q4 (Highest)
New Zealand,23.66,Q4 (Highest)
France,22.16,Q4 (Highest)
Italy,19.42,Q4 (Highest)
Bahamas,18.97,Q4 (Highest)
Puerto Rico,18.92,Q4 (Highest)
Spain,16.98,Q4 (Highest)
Saudi Arabia,16.89,Q4 (Highest)
Slovenia,16.49,Q4 (Highest)
Brunei,15.94,Q4 (Highest)
Kuwait,15.73,Q4 (Highest)
Japan,15.62,Q4 (Highest)
Ecuador,15.17,Q3
Estonia,15.11,Q3
Guyana,14.27,Q3
Bahrain,14.26,Q3
Portugal,14.08,Q3
Barbados,12.76,Q3
Slovakia,12.5,Q3
Poland,12.07,Q3
Greece,11.84,Q3
Croatia,11.56,Q3
Uruguay,11.49,Q3
Latvia,11.25,Q3
Oman,9.75,Q3
Romania,9.65,Q3
Panama,9.21,Q3
Trinidad and Tobago,9.01,Q3
Costa Rica,8.94,Q3
Seychelles,8.59,Q3
Bulgaria,8.46,Q3
Chile,8.03,Q3
Mexico,6.82,Q3
Kazakhstan,6.81,Q3
Argentina,6.72,Q3
Serbia,6.58,Q3
Maldives,6.43,Q3
Montenegro,6.38,Q3
Lithuania,6.19,Q3
Mauritius,5.76,Q3
Malaysia,5.71,Q2
Albania,5.47,Q2
Dominican Republic,5.23,Q2
Bosnia and Herzegovina,4.5,Q2
North Macedonia,4.47,Q2
Georgia,4.44,Q2
Armenia,4.11,Q2
Belarus,4.0,Q2
Colombia,3.81,Q2
Jamaica,3.73,Q2
Botswana,3.7,Q2
Belize,3.69,Q2
Moldova,3.64,Q2
Azerbaijan,3.5,Q2
Suriname,3.35,Q2
Mongolia,3.25,Q2
Paraguay,3.08,Q2
Guatemala,2.96,Q2
Algeria,2.77,Q2
El Salvador,2.68,Q2
Ukraine,2.59,Q2
Indonesia,2.37,Q2
Jordan,2.22,Q2
Sri Lanka,2.17,Q2
Bolivia,2.13,Q2
Namibia,2.12,Q2
Venezuela,2.03,Q2
Tunisia,2.01,Q2
Morocco,2.0,Q1 (Lowest)
Philippines,1.92,Q1 (Lowest)
Bhutan,1.84,Q1 (Lowest)
Lebanon,1.67,Q1 (Lowest)
Honduras,1.65,Q1 (Lowest)
Egypt,1.61,Q1 (Lowest)
Uzbekistan,1.52,Q1 (Lowest)
Nicaragua,1.37,Q1 (Lowest)
Angola,1.28,Q1 (Lowest)
Cambodia,1.26,Q1 (Lowest)
Bangladesh,1.25,Q1 (Lowest)
Zimbabwe,1.2,Q1 (Lowest)
Kyrgyzstan,1.16,Q1 (Lowest)
Ghana,1.15,Q1 (Lowest)
Kenya,1.03,Q1 (Lowest)
Laos,1.02,Q1 (Lowest)
Senegal,0.85,Q1 (Lowest)
Pakistan,0.71,Q1 (Lowest)
Nepal,0.7,Q1 (Lowest)
Myanmar,0.65,Q1 (Lowest)
Tajikistan,0.64,Q1 (Lowest)
Tanzania,0.57,Q1 (Lowest)
Zambia,0.57,Q1 (Lowest)
Ethiopia,0.55,Q1 (Lowest)
Uganda,0.52,Q1 (Lowest)
Nigeria,0.52,Q1 (Lowest)
Rwanda,0.48,Q1 (Lowest)
Mozambique,0.32,Q1 (Lowest)
Madagascar,0.26,Q1 (Lowest)
