region,avg_price,median_price,hourly_wage,avg_hours,price_std,n_platforms,Cluster,PCA1,PCA2
Albania,12.99,12.99,5.47,2.37,0.0,1,1,-0.379062665961136,0.23673855077876074
Algeria,8.74,8.99,2.77,3.1550000000000002,3.2729645558359945,2,2,-0.2699841993289712,-0.4957621541502779
Angola,7.54,6.890000000000001,1.28,5.89,3.187713080431332,3,2,-0.1483213135929918,-1.3239149202861413
Argentina,6.990000000000001,6.99,6.72,1.04,0.0,1,1,-0.7657033881540521,0.3470641717134923
Armenia,7.990000000000001,7.99,4.11,1.9399999999999997,0.0,1,1,-0.6650256257204767,0.1280714245370534
Australia,22.323333333333334,22.99,31.06,0.7166666666666667,4.929220386865554,2,0,0.43016653623842027,1.5721542702046234
Austria,18.488150470219438,19.53,28.01,0.6605329153605016,5.204521138315637,2,0,0.25392012699994077,1.3521077344608892
Azerbaijan,7.990000000000001,7.49,3.5,2.283333333333333,1.081794175326757,2,2,-0.5187052820797867,-0.4078194146818928
Bahamas,13.628051044083527,15.49,18.97,0.7181902552204176,4.549095479445266,2,0,-0.017236949302215587,0.754540250545534
Bahrain,9.877616099071206,8.74,14.26,0.6952941176470588,2.8424961540387197,3,2,-0.3367728385922068,-0.07829143954946288
Bangladesh,8.74,8.99,1.25,6.990000000000001,3.2729645558359945,2,2,-0.06852306205969241,-0.9258592682916681
Barbados,14.415,14.14,12.76,1.1300000000000001,3.02705894340823,2,2,-0.10989858468486871,0.3387085776596541
Belarus,8.323333333333334,7.99,4.0,2.08,0.8511511054650429,2,2,-0.5223951283082634,-0.35655501389240324
Belize,7.573333333333334,7.49,3.69,2.0516666666666667,2.3544164163364742,3,2,-0.3872711800909197,-0.8432810730578274
Bhutan,8.74,8.99,1.84,4.75,3.2729645558359945,2,2,-0.18611103757477795,-0.6920313444361152
Bolivia,5.99,5.99,2.13,2.81,1.635519061527316,1,1,-0.6178172901773338,-0.07956697796474738
Bosnia and Herzegovina,12.99,12.99,4.5,2.89,0.0,1,1,-0.35152983010397576,0.13381807566008153
Botswana,7.240000000000001,7.49,3.7,1.9575,2.1675737288658965,2,2,-0.48418643882148477,-0.36352823686087254
Brunei,13.290000000000001,12.99,15.94,0.8340000000000001,2.6782986874129877,2,2,-0.20907785625192574,0.5327010815653109
Bulgaria,11.85,11.46,8.46,1.4000000000000001,2.4240880957537887,2,2,-0.27228999749724364,0.023542939783713784
Cambodia,7.490000000000001,7.99,1.26,5.944999999999999,2.181976370557328,2,2,-0.25351538505948723,-0.8555976113647589
Canada,17.956666666666667,17.89,26.13,0.6833333333333333,2.4537328610833673,2,0,0.018101424046387354,1.204117821929395
Chile,8.790000000000001,8.59,8.03,1.095,3.006813608164953,2,2,-0.4064493233841792,-0.009929103667160787
Colombia,28.3,29.9,3.81,7.429999999999999,2.7023209838378572,2,2,0.9855141019242822,-0.5457991106891275
Costa Rica,14.323333333333334,14.99,8.94,1.603333333333333,3.3049357965314625,1,1,-0.1163396994921268,0.555575723440268
Croatia,12.943333333333335,12.99,11.56,1.1166666666666667,1.1780374086687186,2,2,-0.29959817178406434,0.23826875782492496
Dominican Republic,9.49,8.49,5.23,1.8149999999999997,2.87561150563189,2,2,-0.36137648419648016,-0.23490512270170066
Ecuador,8.49,7.99,15.17,1.56125,2.2926149763742965,2,2,-0.4545837008400432,0.3537842713470569
Egypt,2.5406422018348622,2.5,1.61,1.576697247706422,0.30847619320107034,2,2,-0.8805716315300968,-0.5313844877848121
El Salvador,9.49,8.49,2.68,3.5425,2.87561150563189,2,2,-0.2700994321451283,-0.5375559329370975
Estonia,15.517999999999999,14.99,15.11,1.026,5.144868697513744,2,2,0.07326227093257927,0.5143027696657532
Ethiopia,7.54,6.890000000000001,0.55,13.708333333333334,3.187713080431332,3,2,0.2617232214966702,-2.06243662974674
Finland,11.480000000000002,11.48,25.55,0.45,0.0,1,1,-0.565058728314368,1.55966376016336
France,18.55333333333333,19.77,22.16,0.8366666666666668,5.356570456815025,2,0,0.28292779002382606,0.9981788114878182
Georgia,12.99,12.99,4.44,2.93,0.0,1,1,-0.3494160536694163,0.1267544739106432
Germany,20.48,20.68,26.97,0.7626086956521739,5.170770999306848,2,0,0.33947014203068154,1.3027765299670329
Ghana,7.490000000000001,7.99,1.15,6.515,2.181976370557328,2,2,-0.22360479689267626,-0.9127551414515908
Greece,14.99,14.99,11.84,1.27,0.0,1,1,-0.3330037935737642,0.7335907264291348
Guatemala,10.323333333333334,9.99,2.96,3.4899999999999998,2.871877089740413,1,1,-0.28231868343311733,-0.02615592967199504
Guyana,7.740000000000001,6.99,14.27,0.5425,3.348650037935605,2,2,-0.48532191755951126,0.38797018364387476
Honduras,10.323333333333334,9.99,1.65,6.256666666666666,2.871877089740413,1,1,-0.1369191179571324,-0.34890080814259744
Hong Kong,12.563333333333333,12.56,26.0,0.48333333333333334,3.1442862819581516,2,0,-0.23018175573029206,1.147191044205726
Iceland,19.840000000000003,21.25,41.37,0.4766666666666667,5.123385829013971,2,0,0.31659505769490026,2.168873246578426
Indonesia,6.39,6.39,2.37,2.7,0.0,1,1,-0.7091123963669408,-0.06278035312378938
Ireland,19.806851851851853,21.83,54.28,0.36462962962962964,6.206221633369558,2,0,0.39261929695217684,2.9448987221244822
Italy,17.8228173374613,19.53,19.42,0.9176160990712073,6.011668967690232,2,0,0.305482112502585,0.8296941269321665
Jamaica,8.74,8.49,3.73,2.3425000000000002,3.0346032204122535,2,2,-0.34203168879202556,-0.37286490247420473
