Actual,Predicted
12.99,12.99
9.99,9.99
7.99,7.99
8.99,8.99
6.99,6.99
11.99,11.99
6.99,6.99
7.49,7.49
4.99,4.99
12.99,12.99
7.99,7.99
5.79,5.79
7.99,7.99
3.99,3.99
12.99,12.99
3.99,3.99
7.99,7.99
11.48,11.48
7.99,7.99
13.99,13.99
14.36,14.36
14.99,14.99
9.49,9.49
11.48,11.48
7.99,7.99
19.99,19.99
9.99,9.99
9.49,9.49
9.99,9.99
7.99,10.503
12.99,12.99
6.99,6.99
11.48,11.48
7.99,7.99
9.99,9.99
3.99,3.99
11.99,11.99
8.99,8.99
17.23,17.23
12.99,12.99
12.99,12.99
9.99,9.99
19.99,19.99
4.49,4.49
15.79,15.79
7.99,7.99
9.99,9.99
3.99,3.99
5.99,5.99
8.99,8.99
13.99,13.99
11.99,11.99
7.99,7.99
6.99,6.99
9.99,9.99
11.48,10.121
12.99,12.99
12.99,12.99
5.99,5.99
28.99,28.755
4.98,4.98
12.99,12.99
9.49,9.49
139.0,139.0
7.99,7.99
7.19,7.19
3.99,3.99
19.99,19.99
16.41,16.41
12.99,12.99
3.99,3.99
9.99,9.99
12.99,12.99
7.99,7.99
4.49,4.49
12.99,12.99
13.78,13.78
9.49,9.49
7.49,7.49
14.99,14.99
7.99,7.99
9.99,9.99
9.99,9.99
2.27,2.27
9.49,9.49
7.99,7.99
12.99,12.99
13.99,13.99
5.99,5.99
23.99,23.99
12.99,12.99
11.48,11.48
11.48,11.48
18.79,18.79
7.99,7.99
9.49,9.49
12.99,12.99
3.99,3.99
11.48,11.48
14.99,14.99
6.99,6.99
7.99,7.99
5.79,5.79
7.99,7.99
4.99,4.99
7.99,7.99
12.99,12.99
12.99,12.99
25.28,25.28
22.98,22.98
6.99,6.99
23.99,23.99
7.49,7.49
5.99,5.99
13.99,13.99
7.49,7.49
7.99,7.99
12.99,12.99
3.99,3.99
18.38,18.38
3.99,3.99
6.99,6.99
17.23,17.23
6.99,6.99
11.48,11.48
11.48,11.48
3.99,3.99
5.79,5.79
19.53,19.53
3.99,3.99
11.99,11.99
9.1,9.1
5.99,5.99
5.99,5.99
9.99,9.99
9.49,9.49
19.77,19.77
9.99,9.99
7.99,7.99
24.41,24.41
4.49,4.49
19.44,19.44
2.02,2.02
9.99,9.99
14.36,14.36
19.53,19.53
15.99,15.99
8.99,8.99
24.5,24.5
7.99,7.99
12.99,12.99
12.99,12.99
9.49,9.49
