Keyword,TF-IDF Score,Group
evil,0.034878,Discounted
resident evil,0.03486,Discounted
resident,0.03486,Discounted
simulator,0.017892,Discounted
edition,0.015481,Discounted
planet,0.014981,Discounted
ii,0.013285,Discounted
world,0.013119,Discounted
warhammer,0.012416,Discounted
frostpunk,0.012288,Discounted
starrupture,0.012186,Discounted
cloverpit,0.011818,Discounted
keeper,0.010354,Discounted
fall,0.010329,Discounted
outer,0.010194,Discounted
cairn,0.01008,Discounted
metal,0.009935,Discounted
evolved,0.009825,Discounted
wilds,0.008827,Discounted
zone,0.008802,Discounted
simulator,0.026022,Full Price
ii,0.020692,Full Price
black,0.014188,Full Price
dead,0.011039,Full Price
fallout,0.010713,Full Price
edition,0.010494,Full Price
duty,0.009959,Full Price
escape,0.008798,Full Price
black ops,0.007839,Full Price
ops,0.007839,Full Price
duty black,0.007839,Full Price
grounded,0.007681,Full Price
evil,0.007602,Full Price
resident,0.007602,Full Price
resident evil,0.007602,Full Price
blade,0.007551,Full Price
iii,0.007464,Full Price
factorio,0.00739,Full Price
reanimal,0.007343,Full Price
yapyap,0.007278,Full Price
