Keyword,TF-IDF Score
simulator,0.020777
evil,0.017002
resident evil,0.016996
resident,0.016996
ii,0.014136
edition,0.010943
dead,0.007769
warhammer,0.007608
black,0.007477
fallout,0.007328
grounded,0.007073
escape,0.006973
duty,0.006787
age,0.006752
world,0.0066
borderlands,0.006131
war,0.006039
iii,0.005827
planet,0.005745
keeper,0.005608
space,0.005418
hunter,0.005393
duty black,0.005256
black ops,0.005256
ops,0.005256
man,0.005235
monster,0.005111
factorio,0.005059
knight,0.005028
reanimal,0.005027
