service,region,plan_name,price,currency
Spotify,US,Skip to content Spotify Premium plans Premium Indi,0,$
Spotify,US,Ends soon: $0 for 3 months of Premium Individual D,0,$
Spotify,US,Try 3 months for US$0 View all plans,0,$
Spotify,US,Try 3 months for US$0,0,$
Spotify,US,US$0 for 3 months Premium Individual US$0 for 3 mo,0,$
Spotify,US,Premium Individual US$0 for 3 months US$5.49/month,0,$
Spotify,US,"US$0 for 3 months, then US$5.49 per month after. O",0,$
Spotify,US,US$0 for 1 month Premium Student US$0 for 1 month ,0,$
Spotify,US,Premium Student US$0 for 1 month US$2.99/month aft,0,$
Spotify,US,Try 1 month for US$0,0,$
Spotify,US,"US$0 for 1 month, then US$2.99 per month after. Of",0,$
Spotify,US,Premium Duo US$7.49 / month,7.49,$
Spotify,US,Premium Family US$9.49 / month,9.49,$
Spotify,US,Questions? We’ve got answers. Find more answers on,5.49,$
Apple TV+,US,Apple TV and Peacock Save over 30% Get exclusive A,14,$
Apple TV+,US,2 Try 3 months free 2 New Subscriber 1 week free G,12,$
Apple TV+,US,"2 (2) A monthly subscription is just
										$12",12,$
Apple TV+,US,"Apple One plans start at
										$19",19,$
Apple TV+,US,Learn more Apple Footer * (none) Plans start at $1,14,$
Apple TV+,US,$12,12,$
Apple TV+,US,Plan automatically renews at $5,5,$
Spotify,UK,Skip to content Spotify Premium plans Premium Indi,0,$
Spotify,UK,Ends soon: $0 for 3 months of Premium Individual D,0,$
Spotify,UK,Try 3 months for US$0 View all plans,0,$
Spotify,UK,Try 3 months for US$0,0,$
Spotify,UK,US$0 for 3 months Premium Individual US$0 for 3 mo,0,$
Spotify,UK,Premium Individual US$0 for 3 months US$5.49/month,0,$
Spotify,UK,"US$0 for 3 months, then US$5.49 per month after. O",0,$
Spotify,UK,US$0 for 1 month Premium Student US$0 for 1 month ,0,$
Spotify,UK,Premium Student US$0 for 1 month US$2.99/month aft,0,$
Spotify,UK,Try 1 month for US$0,0,$
Spotify,UK,"US$0 for 1 month, then US$2.99 per month after. Of",0,$
Spotify,UK,Premium Duo US$7.49 / month,7.49,$
Spotify,UK,Premium Family US$9.49 / month,9.49,$
Spotify,UK,Questions? We’ve got answers. Find more answers on,5.49,$
Apple TV+,UK,Apple TV and Peacock Save over 30% Get exclusive A,14,$
Apple TV+,UK,2 Try 3 months free 2 New Subscriber 1 week free G,12,$
Apple TV+,UK,"2 (2) A monthly subscription is just
										$12",12,$
Apple TV+,UK,"Apple One plans start at
										$19",19,$
Apple TV+,UK,Learn more Apple Footer * (none) Plans start at $1,14,$
Apple TV+,UK,$12,12,$
Apple TV+,UK,Plan automatically renews at $5,5,$
Spotify,India,Skip to content Spotify Premium plans Premium Indi,0,$
Spotify,India,Ends soon: $0 for 3 months of Premium Individual D,0,$
Spotify,India,Try 3 months for US$0 View all plans,0,$
Spotify,India,Try 3 months for US$0,0,$
Spotify,India,US$0 for 3 months Premium Individual US$0 for 3 mo,0,$
Spotify,India,Premium Individual US$0 for 3 months US$5.49/month,0,$
Spotify,India,"US$0 for 3 months, then US$5.49 per month after. O",0,$
Spotify,India,US$0 for 1 month Premium Student US$0 for 1 month ,0,$
Spotify,India,Premium Student US$0 for 1 month US$2.99/month aft,0,$
Spotify,India,Try 1 month for US$0,0,$
Spotify,India,"US$0 for 1 month, then US$2.99 per month after. Of",0,$
Spotify,India,Premium Duo US$7.49 / month,7.49,$
Spotify,India,Premium Family US$9.49 / month,9.49,$
Spotify,India,Questions? We’ve got answers. Find more answers on,5.49,$
Apple TV+,India,Apple TV and Peacock Save over 30% Get exclusive A,14,$
Apple TV+,India,2 Try 3 months free 2 New Subscriber 1 week free G,12,$
Apple TV+,India,"2 (2) A monthly subscription is just
										$12",12,$
Apple TV+,India,"Apple One plans start at
										$19",19,$
Apple TV+,India,Learn more Apple Footer * (none) Plans start at $1,14,$
Apple TV+,India,$12,12,$
Apple TV+,India,Plan automatically renews at $5,5,$
Spotify,Lebanon,Skip to content Spotify Premium plans Premium Indi,0,$
Spotify,Lebanon,Ends soon: $0 for 3 months of Premium Individual D,0,$
Spotify,Lebanon,Try 3 months for US$0 View all plans,0,$
Spotify,Lebanon,Try 3 months for US$0,0,$
Spotify,Lebanon,US$0 for 3 months Premium Individual US$0 for 3 mo,0,$
Spotify,Lebanon,Premium Individual US$0 for 3 months US$5.49/month,0,$
Spotify,Lebanon,"US$0 for 3 months, then US$5.49 per month after. O",0,$
Spotify,Lebanon,US$0 for 1 month Premium Student US$0 for 1 month ,0,$
Spotify,Lebanon,Premium Student US$0 for 1 month US$2.99/month aft,0,$
Spotify,Lebanon,Try 1 month for US$0,0,$
Spotify,Lebanon,"US$0 for 1 month, then US$2.99 per month after. Of",0,$
Spotify,Lebanon,Premium Duo US$7.49 / month,7.49,$
Spotify,Lebanon,Premium Family US$9.49 / month,9.49,$
Spotify,Lebanon,Questions? We’ve got answers. Find more answers on,5.49,$
Apple TV+,Lebanon,Apple TV and Peacock Save over 30% Get exclusive A,14,$
Apple TV+,Lebanon,2 Try 3 months free 2 New Subscriber 1 week free G,12,$
Apple TV+,Lebanon,"2 (2) A monthly subscription is just
										$12",12,$
Apple TV+,Lebanon,"Apple One plans start at
										$19",19,$
Apple TV+,Lebanon,Learn more Apple Footer * (none) Plans start at $1,14,$
Apple TV+,Lebanon,$12,12,$
Apple TV+,Lebanon,Plan automatically renews at $5,5,$
